company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error
1,14170,in_invoice,S/FRA/2023/0768,20230470,"",not_sent,3000 | Factura duplicada
1,16689,in_invoice,S/FRA/2024/0054,1NSN240200037579,"",sent,""
1,24181,in_invoice,S/FRA/2025/0278,1NSN250400076233,"",sent,""
1,14173,in_invoice,S/FRA/2023/0669,95-21 686,"",not_sent,3000 | Factura duplicada
1,18292,in_invoice,S/FRA/2024/0280,1NSN240300391872,"",sent,""
1,14176,in_invoice,S/FRA/2023/0655,09423006673,"",sent,""
1,18999,in_invoice,S/FRA/2024/0367,1NSN240600014926,"",sent,""
1,24182,in_invoice,S/FRA/2025/0277,1NSN250400089635,"",sent,""
1,14179,in_invoice,S/FRA/2023/0665,53,"",not_sent,3000 | Factura duplicada
1,14180,in_invoice,S/FRA/2023/0660,2023/003,"",not_sent,3000 | Factura duplicada
1,14181,in_invoice,S/FRA/2023/0662,1808,"",not_sent,3000 | Factura duplicada
1,14182,in_invoice,S/FRA/2023/0663,9553,"",not_sent,3000 | Factura duplicada
1,14183,in_invoice,S/FRA/2023/0704,INV-DE-1857833635-2023-432,NEXT,not_sent,3000 | Factura duplicada
1,19374,in_invoice,S/FRA/2024/0427,1NSN240700374261,"",sent,""
1,22398,in_invoice,S/FRA/2024/1037,1NSN241000156554,"",sent,""
1,14188,in_invoice,S/FRA/2023/0657,7/2023,"",not_sent,3000 | Factura duplicada
1,14195,in_invoice,S/FRA/2023/0661,5,"",not_sent,3000 | Factura duplicada
1,14214,in_invoice,S/FRA/2023/0872,FA2310597,"",not_sent,3000 | Factura duplicada
1,14217,in_invoice,S/FRA/2023/0868,FA2300317,"",not_sent,3000 | Factura duplicada
1,14302,in_invoice,S/FRA/2023/0773,03/2023,"",not_sent,3000 | Factura duplicada
1,14332,in_invoice,S/FRA/2023/0681,A10018064003-0723,"",not_sent,3000 | Factura duplicada
1,14334,in_invoice,S/FRA/2023/0675,312-KF23-8490,"",not_sent,3000 | Factura duplicada
1,14335,in_invoice,S/FRA/2023/0683,A10018101540-0723,"",not_sent,3000 | Factura duplicada
1,14336,in_invoice,S/FRA/2023/0674,312-KF23-9831,"",not_sent,3000 | Factura duplicada
1,14337,in_invoice,S/FRA/2023/0682,A10018110851-0823,"",not_sent,3000 | Factura duplicada
1,14338,in_invoice,S/FRA/2023/0676,A10018177076-0823,"",not_sent,3000 | Factura duplicada
1,14340,in_invoice,S/FRA/2023/0677,A10018215567-0923,"",not_sent,3000 | Factura duplicada
1,14341,in_invoice,S/FRA/2023/0672,A10018254454-0923,"",not_sent,3000 | Factura duplicada
1,14342,in_invoice,S/FRA/2023/0678,312-KF23-11152,"",not_sent,3000 | Factura duplicada
1,14343,in_invoice,S/FRA/2023/0679,312-KF23-12532,"",not_sent,3000 | Factura duplicada
1,14344,in_invoice,S/FRA/2023/0680,A10018292469-1023,"",not_sent,3000 | Factura duplicada
1,14345,in_invoice,S/FRA/2023/0673,A10018331078-1023,"",not_sent,3000 | Factura duplicada
1,14347,in_invoice,S/FRA/2023/0749,1NSN230700326468,"",not_sent,3000 | Factura duplicada
1,14348,in_invoice,S/FRA/2023/0738,HSN230400348082,"",not_sent,3000 | Factura duplicada
1,24491,in_invoice,S/FRA/2025/0358,11/2025,"",sent,""
1,14354,in_invoice,S/FRA/2023/0747,1NSN231000105281,"",sent,""
1,16229,in_invoice,S/FRA/2023/1164,AL 23000807,"",sent,""
1,21640,in_invoice,S/FRA/2024/0921,1569/24,"",sent,""
1,23260,in_invoice,S/FRA/2025/0090,20250006,"",sent,""
1,14384,in_invoice,S/FRA/2023/0785,75,"",not_sent,3000 | Factura duplicada
1,22401,in_invoice,S/FRA/2024/1034,1NSN241200023623,"",sent,""
1,14389,in_invoice,S/FRA/2023/0775,A6,"",not_sent,3000 | Factura duplicada
1,14390,in_invoice,S/FRA/2023/0781,2023-006,"",not_sent,3000 | Factura duplicada
1,14391,in_invoice,S/FRA/2023/0742,1TSN230800390772,"",sent,""
